Subject,date,Session Distance (mi),Session Active Time (min),Session Load,Session Top Speed (ft/s),Session Peak Accel (m/s/s),Session Peak Decel (m/s/s),Sprints Count,Sprints Max TopSpeed (ft/s),Sprints Avg TopSpeed (ft/s),Sprints Distance (yrd),Sprints Volume,Explosiveness Count,Explosiveness Mean Accel (m/s/s),SpeedZones (Duration) 2m/s (min),SpeedZones (Duration) 3m/s (min),SpeedZones (Duration) 4m/s (min),SpeedZones (Duration) 5m/s (min),SpeedZones (Duration) 6m/s (min),SpeedZones (Duration) 7m/s (min),SpeedZones (Duration) 8m/s (min),SpeedZones (Duration) 9m/s (min),SpeedZones (Distance) 2m/s (mi),SpeedZones (Distance) 3m/s (mi),SpeedZones (Distance) 4m/s (mi),SpeedZones (Distance) 5m/s (mi),SpeedZones (Distance) 6m/s (mi),SpeedZones (Distance) 7m/s (mi),SpeedZones (Distance) 8m/s (mi),SpeedZones (Distance) 9m/s (mi),SpeedBands (Duration) Band1 (min),SpeedBands (Duration) Band2 (min),SpeedBands (Duration) Band3 (min),SpeedBands (Duration) Band4 (min),SpeedBands (Duration) Band5 (min),SpeedBands (Distance) Band1 (mi),SpeedBands (Distance) Band2 (mi),SpeedBands (Distance) Band3 (mi),SpeedBands (Distance) Band4 (mi),SpeedBands (Distance) Band5 (mi),SpeedBands Personal (Duration) Personal Band (Duration) (min),SpeedBands Personal (Distance) Personal Band (Distance) (mi),Accel/Decel Zones Decel -1m/s/s,Accel/Decel Zones Decel -2m/s/s,Accel/Decel Zones Decel -3m/s/s,Accel/Decel Zones Decel -4m/s/s,Accel/Decel Zones Decel -5m/s/s,Accel/Decel Zones Accel 1m/s/s,Accel/Decel Zones Accel 2m/s/s,Accel/Decel Zones Accel 3m/s/s,Accel/Decel Zones Accel 4m/s/s,Accel/Decel Zones Accel 5m/s/s
1,2024-02-06,3.28,30.67,172.3,21.84,4.12,3.97,20,21.84,19.92,837,774.6,20,3.4,8.11,7.59,1.78,1.19,0.72,0.0,0.0,0.0,0.76,0.95,0.3,0.24,0.17,0.0,0.0,0.0,19.39,9.37,1.91,0.0,0.0,1.3,1.24,0.41,0.0,0.0,1.9,0.406,112,35,21,0,0,106,77,30,3,0
1,2024-02-07,2.7,24.85,112.3,21.89,5.06,4.45,13,21.89,19.15,514,479.2,11,3.4,4.89,3.58,2.56,0.98,0.18,0.0,0.0,0.0,0.45,0.45,0.42,0.19,0.04,0.0,0.0,0.0,17.48,6.14,1.16,0.0,0.0,1.02,0.87,0.23,0.0,0.0,1.2,0.235,89,47,17,5,0,92,56,27,4,1
1,2024-02-08,2.41,24.41,42.9,19.43,4.55,4.92,4,19.43,18.57,61,56.8,4,3.9,6.97,4.27,0.74,0.11,0.0,0.0,0.0,0.0,0.64,0.52,0.12,0.02,0.0,0.0,0.0,0.0,19.27,5.01,0.11,0.0,0.0,1.23,0.65,0.02,0.0,0.0,0.1,0.021,120,54,18,4,0,111,68,35,6,0
1,2024-02-13,2.72,26.41,116.2,22.96,4.72,4.22,9,22.96,21.19,493,453.7,9,3.9,6.3,5.36,0.8,0.3,0.78,0.0,0.0,0.0,0.59,0.67,0.13,0.06,0.19,0.0,0.0,0.0,19.11,6.17,1.08,0.0,0.0,1.19,0.81,0.25,0.0,0.0,1.1,0.249,115,39,9,1,0,107,49,16,6,0
1,2024-02-14,1.83,12.92,204.9,21.81,4.61,4.34,32,21.81,19.76,1587,1470.8,28,4.0,3.11,2.39,1.45,2.88,0.77,0.0,0.0,0.0,0.31,0.28,0.26,0.58,0.18,0.0,0.0,0.0,5.41,3.85,3.65,0.0,0.0,0.4,0.54,0.76,0.0,0.0,3.7,0.763,23,14,14,6,0,18,4,16,16,0
2,2023-01-18,3.36,30.93,135.7,21.98,4.48,4.75,12,21.98,19.04,582,539.0,12,2.8,8.25,6.55,3.5,0.9,0.11,0.0,0.0,0.0,0.77,0.8,0.6,0.17,0.03,0.0,0.0,0.0,19.91,10.06,1.0,0.0,0.0,1.33,1.4,0.2,0.0,0.0,1.0,0.197,52,15,11,14,0,64,29,17,8,0
2,2023-01-20,1.81,16.53,38.7,21.87,3.85,4.94,4,21.87,20.31,144,133.4,4,3.5,5.89,2.03,0.36,0.17,0.14,0.0,0.0,0.0,0.53,0.25,0.06,0.03,0.03,0.0,0.0,0.0,13.69,2.4,0.32,0.0,0.0,0.92,0.31,0.07,0.0,0.0,0.3,0.068,43,16,7,2,0,67,22,9,0,0
2,2023-01-23,2.43,22.19,95.9,24.09,4.31,4.18,12,24.09,18.55,580,534.6,12,3.2,7.18,2.4,2.38,0.9,0.08,0.01,0.0,0.0,0.67,0.29,0.4,0.18,0.02,0.0,0.0,0.0,16.49,4.78,0.98,0.01,0.0,1.13,0.7,0.19,0.0,0.0,1.0,0.193,71,16,8,2,0,70,31,14,3,0
2,2023-01-25,2.79,25.42,96.2,20.62,5.45,4.65,4,20.62,19.39,399,366.2,4,3.6,7.0,4.5,2.11,0.76,0.08,0.0,0.0,0.0,0.63,0.57,0.35,0.15,0.02,0.0,0.0,0.0,17.9,6.61,0.85,0.0,0.0,1.18,0.92,0.17,0.0,0.0,0.8,0.168,101,63,16,2,0,99,69,22,3,1
2,2023-01-27,1.26,11.56,21.1,18.92,4.24,4.83,1,18.92,18.92,14,13.5,1,2.7,3.42,2.14,0.41,0.03,0.0,0.0,0.0,0.0,0.31,0.27,0.06,0.01,0.0,0.0,0.0,0.0,8.92,2.54,0.03,0.0,0.0,0.57,0.33,0.01,0.0,0.0,0.0,0.007,48,20,9,2,0,56,30,11,1,0
2,2023-01-30,2.64,27.05,57.2,21.27,4.12,4.29,4,21.27,19.18,114,106.0,4,3.1,7.57,5.39,0.95,0.18,0.03,0.0,0.0,0.0,0.69,0.68,0.16,0.03,0.01,0.0,0.0,0.0,20.4,6.33,0.21,0.0,0.0,1.34,0.84,0.04,0.0,0.0,0.2,0.044,80,32,6,1,0,93,37,9,1,0
2,2023-02-01,1.56,17.1,13.8,16.26,3.86,3.31,0,0.0,0.0,0,0.0,0,0.0,4.51,1.43,0.16,0.0,0.0,0.0,0.0,0.0,0.4,0.17,0.03,0.0,0.0,0.0,0.0,0.0,15.47,1.6,0.0,0.0,0.0,0.93,0.2,0.0,0.0,0.0,0.0,0.0,36,20,6,0,0,51,19,10,0,0
2,2023-02-06,3.05,28.96,100.7,21.53,4.32,4.96,8,21.53,18.84,310,287.1,7,3.1,8.92,6.77,2.28,0.48,0.08,0.0,0.0,0.0,0.82,0.86,0.38,0.09,0.02,0.0,0.0,0.0,19.28,9.05,0.56,0.0,0.0,1.32,1.24,0.11,0.0,0.0,0.6,0.106,96,33,10,4,0,91,61,14,1,0
2,2023-02-08,2.46,24.39,49.8,21.12,4.3,5.0,6,21.12,18.65,125,117.7,5,3.6,8.23,3.51,0.78,0.26,0.04,0.0,0.0,0.0,0.74,0.44,0.13,0.05,0.01,0.0,0.0,0.0,19.74,4.29,0.3,0.0,0.0,1.32,0.57,0.06,0.0,0.0,0.3,0.06,131,37,10,3,1,109,58,15,3,0
2,2023-02-13,1.25,12.12,23.1,16.54,3.72,4.51,0,0.0,0.0,0,0.0,0,0.0,4.25,2.04,0.59,0.0,0.0,0.0,0.0,0.0,0.37,0.26,0.09,0.0,0.0,0.0,0.0,0.0,9.44,2.63,0.0,0.0,0.0,0.61,0.35,0.0,0.0,0.0,0.0,0.0,50,13,2,3,0,50,16,8,0,0
2,2023-02-15,3.08,30.44,84.6,24.19,3.99,4.39,8,24.19,20.74,310,292.3,7,2.4,11.29,5.66,1.04,0.36,0.18,0.02,0.0,0.0,1.01,0.71,0.17,0.07,0.04,0.01,0.0,0.0,23.33,6.69,0.54,0.02,0.0,1.62,0.88,0.11,0.01,0.0,0.6,0.117,110,44,7,4,0,107,54,15,0,0
2,2023-02-17,1.98,22.7,52.5,22.88,3.51,4.2,6,22.88,19.23,136,132.5,6,2.5,7.34,3.02,1.12,0.21,0.07,0.0,0.0,0.0,0.58,0.36,0.16,0.04,0.02,0.0,0.0,0.0,18.23,4.14,0.28,0.0,0.0,0.99,0.52,0.06,0.0,0.0,0.3,0.058,82,25,11,1,0,89,41,4,0,0
2,2023-02-20,1.71,14.98,69.1,20.14,4.45,5.32,9,20.14,18.31,469,433.8,9,2.9,4.55,2.35,2.0,0.58,0.01,0.0,0.0,0.0,0.42,0.3,0.35,0.11,0.0,0.0,0.0,0.0,9.95,4.35,0.59,0.0,0.0,0.68,0.64,0.11,0.0,0.0,0.6,0.109,66,19,2,3,1,49,21,14,1,0
2,2023-02-22,2.55,25.67,64.0,21.84,4.03,6.29,12,21.84,19.12,218,204.9,12,2.9,8.83,4.0,1.12,0.39,0.06,0.0,0.0,0.0,0.79,0.49,0.18,0.08,0.01,0.0,0.0,0.0,20.13,5.11,0.45,0.0,0.0,1.36,0.68,0.09,0.0,0.0,0.4,0.09,90,35,8,4,0,89,52,18,1,0
2,2023-02-24,2.87,28.41,61.5,18.62,4.14,4.02,5,18.62,18.02,158,146.8,5,2.8,7.62,4.46,1.57,0.22,0.0,0.0,0.0,0.0,0.69,0.56,0.27,0.04,0.0,0.0,0.0,0.0,22.16,6.04,0.22,0.0,0.0,1.39,0.83,0.04,0.0,0.0,0.2,0.038,107,50,10,1,0,100,56,22,3,0
2,2023-03-13,1.76,16.24,64.8,21.54,4.44,4.05,10,21.54,18.67,344,319.4,10,2.6,4.41,2.81,1.36,0.62,0.03,0.0,0.0,0.0,0.41,0.35,0.23,0.12,0.01,0.0,0.0,0.0,11.38,4.17,0.66,0.0,0.0,0.73,0.58,0.13,0.0,0.0,0.7,0.126,71,20,11,1,0,55,35,17,2,0
2,2023-03-16,1.96,18.95,39.0,17.78,3.87,4.14,2,17.78,17.33,50,46.7,2,2.8,4.72,3.28,1.03,0.07,0.0,0.0,0.0,0.0,0.43,0.41,0.17,0.02,0.0,0.0,0.0,0.0,14.41,4.31,0.07,0.0,0.0,0.9,0.58,0.02,0.0,0.0,0.1,0.016,93,33,18,1,0,83,46,16,0,0
2,2023-03-20,1.31,12.6,18.4,17.22,4.06,3.64,0,0.0,0.0,0,0.0,0,0.0,4.33,1.96,0.27,0.01,0.0,0.0,0.0,0.0,0.37,0.22,0.05,0.0,0.0,0.0,0.0,0.0,10.29,2.23,0.01,0.0,0.0,0.63,0.26,0.0,0.0,0.0,0.0,0.002,71,14,1,0,0,66,22,6,1,0
